kind_to	source_to	key_to	relation_kind	kind_from	source_from	key_from	time_source
instance	nlr	011610519	hasItem	item	nlr	011610519	2019-12-17 12:00:00
instance	nlr	012085365	hasItem	item	nlr	012085365	2019-12-17 12:00:00
instance	nlr	012085409	hasItem	item	nlr	012085409	2019-12-17 12:00:00
instance	nlr	012085367	hasItem	item	nlr	012085367	2019-12-17 12:00:00
instance	nlr	012085388	hasItem	item	nlr	012085388	2019-12-17 12:00:00
instance	nlr	011764349	hasItem	item	nlr	011764349	2019-12-17 12:00:00
instance	nlr	012085422	hasItem	item	nlr	012085422	2019-12-17 12:00:00
instance	nlr	011433630	hasItem	item	nlr	011433630	2019-12-17 12:00:00
instance	nlr	012085449	hasItem	item	nlr	012085449	2019-12-17 12:00:00
instance	nlr	012085451	hasItem	item	nlr	012085451	2019-12-17 12:00:00
instance	nlr	012085452	hasItem	item	nlr	012085452	2019-12-17 12:00:00
instance	nlr	011433640	hasItem	item	nlr	011433640	2019-12-17 12:00:00
instance	nlr	012048998	hasItem	item	nlr	012048998	2019-12-17 12:00:00
instance	nlr	012085446	hasItem	item	nlr	012085446	2019-12-17 12:00:00
instance	nlr	011433644	hasItem	item	nlr	011433644	2019-12-17 12:00:00
instance	nlr	011610421	hasItem	item	nlr	011610421	2019-12-17 12:00:00
instance	nlr	011433632	hasItem	item	nlr	011433632	2019-12-17 12:00:00
instance	nlr	012085402	hasItem	item	nlr	012085402	2019-12-17 12:00:00
instance	nlr	012085455	hasItem	item	nlr	012085455	2019-12-17 12:00:00
instance	nlr	012049921	hasItem	item	nlr	012049921	2019-12-17 12:00:00
instance	nlr	012085354	hasItem	item	nlr	012085354	2019-12-17 12:00:00
instance	nlr	012085421	hasItem	item	nlr	012085421	2019-12-17 12:00:00
instance	nlr	012085457	hasItem	item	nlr	012085457	2019-12-17 12:00:00
instance	nlr	012085456	hasItem	item	nlr	012085456	2019-12-17 12:00:00
instance	nlr	012085478	hasItem	item	nlr	012085478	2019-12-17 12:00:00
instance	nlr	012085442	hasItem	item	nlr	012085442	2019-12-17 12:00:00
instance	nlr	011610452	hasItem	item	nlr	011610452	2019-12-17 12:00:00
instance	nlr	011764332	hasItem	item	nlr	011764332	2019-12-17 12:00:00
instance	nlr	011433683	hasItem	item	nlr	011433683	2019-12-17 12:00:00
instance	nlr	012085405	hasItem	item	nlr	012085405	2019-12-17 12:00:00
instance	nlr	012048815	hasItem	item	nlr	012048815	2019-12-17 12:00:00
instance	nlr	012048819	hasItem	item	nlr	012048819	2019-12-17 12:00:00
instance	nlr	012048814	hasItem	item	nlr	012048814	2019-12-17 12:00:00
instance	nlr	011764353	hasItem	item	nlr	011764353	2019-12-17 12:00:00
instance	nlr	012085467	hasItem	item	nlr	012085467	2019-12-17 12:00:00
instance	nlr	011433652	hasItem	item	nlr	011433652	2019-12-17 12:00:00
instance	nlr	012085466	hasItem	item	nlr	012085466	2019-12-17 12:00:00
instance	nlr	012085465	hasItem	item	nlr	012085465	2019-12-17 12:00:00
instance	nlr	012085464	hasItem	item	nlr	012085464	2019-12-17 12:00:00
instance	nlr	012085463	hasItem	item	nlr	012085463	2019-12-17 12:00:00
instance	nlr	012085461	hasItem	item	nlr	012085461	2019-12-17 12:00:00
instance	nlr	012085459	hasItem	item	nlr	012085459	2019-12-17 12:00:00
instance	nlr	012085460	hasItem	item	nlr	012085460	2019-12-17 12:00:00
instance	nlr	012085458	hasItem	item	nlr	012085458	2019-12-17 12:00:00
instance	nlr	012085462	hasItem	item	nlr	012085462	2019-12-17 12:00:00
instance	nlr	012048807	hasItem	item	nlr	012048807	2019-12-17 12:00:00
instance	nlr	012048995	hasItem	item	nlr	012048995	2019-12-17 12:00:00
instance	nlr	012085488	hasItem	item	nlr	012085488	2019-12-17 12:00:00
instance	nlr	012085432	hasItem	item	nlr	012085432	2019-12-17 12:00:00
instance	nlr	012085434	hasItem	item	nlr	012085434	2019-12-17 12:00:00
instance	nlr	012085334	hasItem	item	nlr	012085334	2019-12-17 12:00:00
instance	nlr	012085427	hasItem	item	nlr	012085427	2019-12-17 12:00:00
instance	nlr	012085425	hasItem	item	nlr	012085425	2019-12-17 12:00:00
instance	nlr	012085374	hasItem	item	nlr	012085374	2019-12-17 12:00:00
instance	nlr	012085378	hasItem	item	nlr	012085378	2019-12-17 12:00:00
instance	nlr	012048820	hasItem	item	nlr	012048820	2019-12-17 12:00:00
instance	nlr	012085468	hasItem	item	nlr	012085468	2019-12-17 12:00:00
instance	nlr	012085440	hasItem	item	nlr	012085440	2019-12-17 12:00:00
instance	nlr	012085437	hasItem	item	nlr	012085437	2019-12-17 12:00:00
instance	nlr	011433686	hasItem	item	nlr	011433686	2019-12-17 12:00:00
instance	nlr	012085469	hasItem	item	nlr	012085469	2019-12-17 12:00:00
instance	nlr	012085377	hasItem	item	nlr	012085377	2019-12-17 12:00:00
instance	nlr	012085352	hasItem	item	nlr	012085352	2019-12-17 12:00:00
instance	nlr	012085429	hasItem	item	nlr	012085429	2019-12-17 12:00:00
instance	nlr	012085349	hasItem	item	nlr	012085349	2019-12-17 12:00:00
instance	nlr	012085348	hasItem	item	nlr	012085348	2019-12-17 12:00:00
instance	nlr	012049170	hasItem	item	nlr	012049170	2019-12-17 12:00:00
instance	nlr	012085448	hasItem	item	nlr	012085448	2019-12-17 12:00:00
instance	nlr	012085397	hasItem	item	nlr	012085397	2019-12-17 12:00:00
instance	nlr	012085410	hasItem	item	nlr	012085410	2019-12-17 12:00:00
instance	nlr	012085395	hasItem	item	nlr	012085395	2019-12-17 12:00:00
instance	nlr	012048811	hasItem	item	nlr	012048811	2019-12-17 12:00:00
instance	nlr	011433628	hasItem	item	nlr	011433628	2019-12-17 12:00:00
instance	nlr	012049193	hasItem	item	nlr	012049193	2019-12-17 12:00:00
instance	nlr	012049178	hasItem	item	nlr	012049178	2019-12-17 12:00:00
instance	nlr	011764390	hasItem	item	nlr	011764390	2019-12-17 12:00:00
instance	nlr	012085436	hasItem	item	nlr	012085436	2019-12-17 12:00:00
instance	nlr	012085340	hasItem	item	nlr	012085340	2019-12-17 12:00:00
instance	nlr	011764391	hasItem	item	nlr	011764391	2019-12-17 12:00:00
instance	nlr	011764351	hasItem	item	nlr	011764351	2019-12-17 12:00:00
instance	nlr	011433657	hasItem	item	nlr	011433657	2019-12-17 12:00:00
instance	nlr	012085361	hasItem	item	nlr	012085361	2019-12-17 12:00:00
instance	nlr	012048959	hasItem	item	nlr	012048959	2019-12-17 12:00:00
instance	nlr	012085379	hasItem	item	nlr	012085379	2019-12-17 12:00:00
instance	nlr	012085353	hasItem	item	nlr	012085353	2019-12-17 12:00:00
instance	nlr	012085370	hasItem	item	nlr	012085370	2019-12-17 12:00:00
instance	nlr	012085435	hasItem	item	nlr	012085435	2019-12-17 12:00:00
instance	nlr	012085471	hasItem	item	nlr	012085471	2019-12-17 12:00:00
instance	nlr	011433661	hasItem	item	nlr	011433661	2019-12-17 12:00:00
instance	nlr	011433658	hasItem	item	nlr	011433658	2019-12-17 12:00:00
instance	nlr	011433663	hasItem	item	nlr	011433663	2019-12-17 12:00:00
instance	nlr	011433639	hasItem	item	nlr	011433639	2019-12-17 12:00:00
instance	nlr	012049188	hasItem	item	nlr	012049188	2019-12-17 12:00:00
instance	nlr	012085337	hasItem	item	nlr	012085337	2019-12-17 12:00:00
instance	nlr	011610359	hasItem	item	nlr	011610359	2019-12-17 12:00:00
instance	nlr	012048949	hasItem	item	nlr	012048949	2019-12-17 12:00:00
instance	nlr	011764399	hasItem	item	nlr	011764399	2019-12-17 12:00:00
instance	nlr	011764392	hasItem	item	nlr	011764392	2019-12-17 12:00:00
instance	nlr	011433646	hasItem	item	nlr	011433646	2019-12-17 12:00:00
instance	nlr	012049171	hasItem	item	nlr	012049171	2019-12-17 12:00:00
instance	nlr	012085407	hasItem	item	nlr	012085407	2019-12-17 12:00:00
instance	nlr	011764393	hasItem	item	nlr	011764393	2019-12-17 12:00:00
instance	nlr	011433668	hasItem	item	nlr	011433668	2019-12-17 12:00:00
instance	nlr	012085479	hasItem	item	nlr	012085479	2019-12-17 12:00:00
instance	nlr	011433672	hasItem	item	nlr	011433672	2019-12-17 12:00:00
instance	nlr	012085398	hasItem	item	nlr	012085398	2019-12-17 12:00:00
instance	nlr	011433665	hasItem	item	nlr	011433665	2019-12-17 12:00:00
instance	nlr	011433664	hasItem	item	nlr	011433664	2019-12-17 12:00:00
instance	nlr	011433670	hasItem	item	nlr	011433670	2019-12-17 12:00:00
instance	nlr	012048810	hasItem	item	nlr	012048810	2019-12-17 12:00:00
instance	nlr	011433634	hasItem	item	nlr	011433634	2019-12-17 12:00:00
instance	nlr	011433685	hasItem	item	nlr	011433685	2019-12-17 12:00:00
instance	nlr	011433642	hasItem	item	nlr	011433642	2019-12-17 12:00:00
instance	nlr	012049192	hasItem	item	nlr	012049192	2019-12-17 12:00:00
instance	nlr	011433637	hasItem	item	nlr	011433637	2019-12-17 12:00:00
instance	nlr	011433629	hasItem	item	nlr	011433629	2019-12-17 12:00:00
instance	nlr	011764333	hasItem	item	nlr	011764333	2019-12-17 12:00:00
instance	nlr	011764388	hasItem	item	nlr	011764388	2019-12-17 12:00:00
instance	nlr	012085470	hasItem	item	nlr	012085470	2019-12-17 12:00:00
instance	nlr	012049169	hasItem	item	nlr	012049169	2019-12-17 12:00:00
instance	nlr	011433635	hasItem	item	nlr	011433635	2019-12-17 12:00:00
instance	nlr	012085472	hasItem	item	nlr	012085472	2019-12-17 12:00:00
instance	nlr	012085375	hasItem	item	nlr	012085375	2019-12-17 12:00:00
instance	nlr	012085389	hasItem	item	nlr	012085389	2019-12-17 12:00:00
instance	nlr	012085382	hasItem	item	nlr	012085382	2019-12-17 12:00:00
instance	nlr	012085360	hasItem	item	nlr	012085360	2019-12-17 12:00:00
instance	nlr	012085385	hasItem	item	nlr	012085385	2019-12-17 12:00:00
instance	nlr	012085384	hasItem	item	nlr	012085384	2019-12-17 12:00:00
instance	nlr	012085490	hasItem	item	nlr	012085490	2019-12-17 12:00:00
instance	nlr	012085359	hasItem	item	nlr	012085359	2019-12-17 12:00:00
instance	nlr	012085406	hasItem	item	nlr	012085406	2019-12-17 12:00:00
instance	nlr	012085394	hasItem	item	nlr	012085394	2019-12-17 12:00:00
instance	nlr	012085387	hasItem	item	nlr	012085387	2019-12-17 12:00:00
instance	nlr	012085492	hasItem	item	nlr	012085492	2019-12-17 12:00:00
instance	nlr	012085493	hasItem	item	nlr	012085493	2019-12-17 12:00:00
instance	nlr	012085401	hasItem	item	nlr	012085401	2019-12-17 12:00:00
instance	nlr	012085491	hasItem	item	nlr	012085491	2019-12-17 12:00:00
instance	nlr	012085391	hasItem	item	nlr	012085391	2019-12-17 12:00:00
instance	nlr	012085404	hasItem	item	nlr	012085404	2019-12-17 12:00:00
instance	nlr	012085418	hasItem	item	nlr	012085418	2019-12-17 12:00:00
instance	nlr	012085329	hasItem	item	nlr	012085329	2019-12-17 12:00:00
instance	nlr	011433681	hasItem	item	nlr	011433681	2019-12-17 12:00:00
instance	nlr	012049187	hasItem	item	nlr	012049187	2019-12-17 12:00:00
instance	nlr	012085473	hasItem	item	nlr	012085473	2019-12-17 12:00:00
instance	nlr	012085357	hasItem	item	nlr	012085357	2019-12-17 12:00:00
instance	nlr	012085412	hasItem	item	nlr	012085412	2019-12-17 12:00:00
instance	nlr	012085344	hasItem	item	nlr	012085344	2019-12-17 12:00:00
instance	nlr	012085373	hasItem	item	nlr	012085373	2019-12-17 12:00:00
instance	nlr	012048956	hasItem	item	nlr	012048956	2019-12-17 12:00:00
instance	nlr	012085444	hasItem	item	nlr	012085444	2019-12-17 12:00:00
instance	nlr	012085443	hasItem	item	nlr	012085443	2019-12-17 12:00:00
instance	nlr	012085489	hasItem	item	nlr	012085489	2019-12-17 12:00:00
instance	nlr	011433648	hasItem	item	nlr	011433648	2019-12-17 12:00:00
instance	nlr	012048957	hasItem	item	nlr	012048957	2019-12-17 12:00:00
instance	nlr	012085445	hasItem	item	nlr	012085445	2019-12-17 12:00:00
instance	nlr	012085415	hasItem	item	nlr	012085415	2019-12-17 12:00:00
instance	nlr	012085363	hasItem	item	nlr	012085363	2019-12-17 12:00:00
instance	nlr	011764387	hasItem	item	nlr	011764387	2019-12-17 12:00:00
instance	nlr	012085453	hasItem	item	nlr	012085453	2019-12-17 12:00:00
instance	nlr	012085454	hasItem	item	nlr	012085454	2019-12-17 12:00:00
instance	nlr	011433638	hasItem	item	nlr	011433638	2019-12-17 12:00:00
instance	nlr	012048943	hasItem	item	nlr	012048943	2019-12-17 12:00:00
instance	nlr	011610313	hasItem	item	nlr	011610313	2019-12-17 12:00:00
instance	nlr	010113856	hasItem	item	nlr	010113856	2019-12-17 12:00:00
instance	nlr	011610536	hasItem	item	nlr	011610536	2019-12-17 12:00:00
instance	nlr	011610301	hasItem	item	nlr	011610301	2019-12-17 12:00:00
instance	nlr	011433679	hasItem	item	nlr	011433679	2019-12-17 12:00:00
instance	nlr	012085414	hasItem	item	nlr	012085414	2019-12-17 12:00:00
instance	nlr	012085393	hasItem	item	nlr	012085393	2019-12-17 12:00:00
instance	nlr	012085413	hasItem	item	nlr	012085413	2019-12-17 12:00:00
instance	nlr	012085399	hasItem	item	nlr	012085399	2019-12-17 12:00:00
instance	nlr	012085426	hasItem	item	nlr	012085426	2019-12-17 12:00:00
instance	nlr	010118494	hasItem	item	nlr	010118494	2019-12-17 12:00:00
instance	nlr	011764352	hasItem	item	nlr	011764352	2019-12-17 12:00:00
instance	nlr	011764396	hasItem	item	nlr	011764396	2019-12-17 12:00:00
instance	nlr	012085372	hasItem	item	nlr	012085372	2019-12-17 12:00:00
instance	nlr	012085343	hasItem	item	nlr	012085343	2019-12-17 12:00:00
instance	nlr	012085428	hasItem	item	nlr	012085428	2019-12-17 12:00:00
instance	nlr	012085431	hasItem	item	nlr	012085431	2019-12-17 12:00:00
