key_to	source_to	time_sys	kind_to	relation_kind	kind_from	source_from	key_from
/kp/rumorgb/rsl01002986524.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986524
/kp/rumorgb/rsl01002986528.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986528
/kp/rumorgb/rsl01002986529.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986529
/kp/rumorgb/rsl01002986532.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986532
/kp/rumorgb/rsl01002986536.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986536
/kp/rumorgb/rsl01002986538.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986538
/kp/rumorgb/rsl01002986539.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986539
/kp/rumorgb/rsl01002986546.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986546
/kp/rumorgb/rsl01002986547.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986547
/kp/rumorgb/rsl01002986551.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986551
/kp/rumorgb/rsl01002986552.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986552
/kp/rumorgb/rsl01002986553.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986553
/kp/rumorgb/rsl01002986560.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986560
/kp/rumorgb/rsl01002986566.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986566
/kp/rumorgb/rsl01002986567.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986567
/kp/rumorgb/rsl01002986570.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986570
/kp/rumorgb/rsl01002986572.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986572
/kp/rumorgb/rsl01002986575.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986575
/kp/rumorgb/rsl01002986580.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986580
/kp/rumorgb/rsl01002986582.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986582
/kp/rumorgb/rsl01002986586.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986586
/kp/rumorgb/rsl01002986588.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986588
/kp/rumorgb/rsl01002986589.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986589
/kp/rumorgb/rsl01002986591.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986591
/kp/rumorgb/rsl01002986592.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986592
/kp/rumorgb/rsl01002986593.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986593
/kp/rumorgb/rsl01002986594.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986594
/kp/rumorgb/rsl01002986595.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986595
/kp/rumorgb/rsl01002986596.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986596
/kp/rumorgb/rsl01002986597.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986597
/kp/rumorgb/rsl01002986599.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986599
/kp/rumorgb/rsl01002986600.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986600
/kp/rumorgb/rsl01002986607.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986607
/kp/rumorgb/rsl01002986609.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986609
/kp/rumorgb/rsl01002986611.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986611
/kp/rumorgb/rsl01002986613.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986613
/kp/rumorgb/rsl01002986614.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986614
/kp/rumorgb/rsl01002986615.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986615
/kp/rumorgb/rsl01002986616.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986616
/kp/rumorgb/rsl01002986618.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986618
/kp/rumorgb/rsl01002986620.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986620
/kp/rumorgb/rsl01002986622.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986622
/kp/rumorgb/rsl01002986624.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986624
/kp/rumorgb/rsl01002986627.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986627
/kp/rumorgb/rsl01002986628.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986628
/kp/rumorgb/rsl01002986629.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986629
/kp/rumorgb/rsl01002986632.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986632
/kp/rumorgb/rsl01002986633.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986633
/kp/rumorgb/rsl01002986634.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986634
/kp/rumorgb/rsl01002986635.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986635
/kp/rumorgb/rsl01002986636.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986636
/kp/rumorgb/rsl01002986637.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986637
/kp/rumorgb/rsl01002986638.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986638
/kp/rumorgb/rsl01002986639.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986639
/kp/rumorgb/rsl01002986641.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986641
/kp/rumorgb/rsl01002986642.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986642
/kp/rumorgb/rsl01002986643.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986643
/kp/rumorgb/rsl01002986644.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986644
/kp/rumorgb/rsl01002986645.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986645
/kp/rumorgb/rsl01002986647.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986647
/kp/rumorgb/rsl01002986648.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986648
/kp/rumorgb/rsl01002986651.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986651
/kp/rumorgb/rsl01002986652.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986652
/kp/rumorgb/rsl01002986655.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986655
/kp/rumorgb/rsl01002986656.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986656
/kp/rumorgb/rsl01002986658.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986658
/kp/rumorgb/rsl01002986659.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986659
/kp/rumorgb/rsl01002986660.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986660
/kp/rumorgb/rsl01002986661.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986661
/kp/rumorgb/rsl01002986662.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986662
/kp/rumorgb/rsl01002986664.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986664
/kp/rumorgb/rsl01002986665.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986665
/kp/rumorgb/rsl01002986666.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986666
/kp/rumorgb/rsl01002986667.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986667
/kp/rumorgb/rsl01002986668.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986668
/kp/rumorgb/rsl01002986676.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986676
/kp/rumorgb/rsl01002986677.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986677
/kp/rumorgb/rsl01002986678.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986678
/kp/rumorgb/rsl01002986680.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986680
/kp/rumorgb/rsl01002986683.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986683
/kp/rumorgb/rsl01002986691.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986691
/kp/rumorgb/rsl01002986693.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986693
